epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,7971.3,1.33293,1.21432,1.73767,0.97938,0.39062,0.47736,0.26597,1.62245,1.20256,2.50228,0.00155471,0.00155471,0.00155471
86,8068.51,1.42303,1.24001,1.81659,0.96812,0.39062,0.48771,0.27052,1.61046,1.2526,2.50497,0.00155209,0.00155209,0.00155209
87,8167.27,1.39074,1.22978,1.8149,0.96163,0.40625,0.49807,0.24552,1.67227,1.23764,2.5954,0.00154944,0.00154944,0.00154944
88,8267.35,1.41065,1.24199,1.78298,0.99909,0.39062,0.47154,0.24372,1.67977,1.18758,2.64071,0.00154675,0.00154675,0.00154675
89,8368.27,1.36465,1.23399,1.7536,0.99162,0.39062,0.54787,0.26678,1.76442,1.23766,2.89218,0.00154405,0.00154405,0.00154405
90,8467.34,1.37093,1.29019,1.78995,0.98348,0.39062,0.6805,0.32578,1.75515,1.08041,2.80378,0.00154131,0.00154131,0.00154131
91,8564.65,1.35915,1.18482,1.81184,0.97993,0.39062,0.91406,0.49868,1.53587,1.03781,2.50894,0.00153854,0.00153854,0.00153854
92,8663.83,1.33609,1.18033,1.78468,0.97233,0.375,0.49887,0.26479,1.5917,1.26057,2.47572,0.00153575,0.00153575,0.00153575
93,8766.17,1.2855,1.13109,1.74144,0.99392,0.39062,0.47008,0.24974,1.6413,1.27422,2.56538,0.00153293,0.00153293,0.00153293
94,8861.9,1.2934,1.13863,1.74956,0.9786,0.40625,0.61333,0.3119,1.73708,1.15484,2.74291,0.00153009,0.00153009,0.00153009
95,8955.66,1.41247,1.25879,1.84036,0.97329,0.40625,0.56112,0.29744,1.78626,1.12635,2.75553,0.00152721,0.00152721,0.00152721
96,9055.9,1.33901,1.21074,1.79325,0.98123,0.40071,0.5677,0.32223,1.55739,1.04937,2.3595,0.00152431,0.00152431,0.00152431
97,9151.7,1.28875,1.15191,1.70648,0.92079,0.41517,0.59445,0.34395,1.39649,1.06741,2.17923,0.00152139,0.00152139,0.00152139
98,9253.42,1.31977,1.1048,1.74647,0.94801,0.40401,0.61176,0.34027,1.50803,1.02731,2.23355,0.00151843,0.00151843,0.00151843
99,9355.18,1.31082,1.13927,1.75886,0.95775,0.33876,0.46051,0.22653,1.7886,1.23733,2.69527,0.00151545,0.00151545,0.00151545
100,9451.62,1.331,1.10956,1.79351,0.84067,0.33421,0.42956,0.18519,2.10505,1.90972,3.08241,0.00151244,0.00151244,0.00151244
101,9550.96,1.34385,1.09919,1.77732,0.70502,0.31498,0.33432,0.09264,2.36083,2.60788,3.3327,0.00150941,0.00150941,0.00150941
102,9652.78,1.42845,1.30365,1.86694,0.85571,0.32812,0.4023,0.1807,1.95026,1.60919,2.79855,0.00150635,0.00150635,0.00150635
103,9748.8,1.35091,1.14859,1.7714,0.87397,0.375,0.42959,0.21328,1.77287,1.30365,2.66758,0.00150326,0.00150326,0.00150326
104,9847.33,1.30222,1.173,1.77069,0.89936,0.37211,0.46371,0.20547,1.86581,1.31154,2.75518,0.00150015,0.00150015,0.00150015
105,9948.18,1.25785,1.11621,1.69661,0.96038,0.36325,0.48223,0.22471,1.88745,1.25763,2.73525,0.00149701,0.00149701,0.00149701
106,10050.5,1.27612,1.09995,1.70397,0.91395,0.37584,0.58916,0.26704,1.8607,1.2412,2.73394,0.00149384,0.00149384,0.00149384
107,10154.5,1.2746,1.19231,1.72969,0.93532,0.42069,0.47722,0.22898,1.81767,1.14201,2.74276,0.00149065,0.00149065,0.00149065
108,10259.6,1.34396,1.20605,1.74283,0.95017,0.375,0.45586,0.21321,1.7525,1.16476,2.70207,0.00148744,0.00148744,0.00148744
109,10360.9,1.38114,1.1766,1.81285,0.93698,0.375,0.45269,0.2111,1.746,1.36276,2.65766,0.00148419,0.00148419,0.00148419
110,10460.9,1.29774,1.30941,1.78685,0.97692,0.375,0.4791,0.23631,1.7331,1.38215,2.64057,0.00148093,0.00148093,0.00148093
111,10562.8,1.29382,1.20727,1.76594,0.98331,0.375,0.43972,0.24178,1.67444,1.52469,2.63691,0.00147764,0.00147764,0.00147764
112,10657.5,1.29777,1.2805,1.72738,0.87854,0.42188,0.43455,0.25232,1.53915,1.30997,2.43217,0.00147432,0.00147432,0.00147432
113,10753.1,1.29908,1.18473,1.8125,0.89324,0.375,0.43159,0.23923,1.58263,1.3345,2.42796,0.00147098,0.00147098,0.00147098
114,10842,1.37881,1.22197,1.82732,0.96245,0.38503,0.5643,0.3038,1.54751,1.07384,2.36328,0.00146761,0.00146761,0.00146761
115,10925.5,1.29654,1.19379,1.74842,0.9955,0.375,0.4718,0.25944,1.51592,1.06334,2.42486,0.00146422,0.00146422,0.00146422
116,11010.4,1.31118,1.12387,1.76985,0.9022,0.39062,0.42732,0.2286,1.61707,1.41116,2.41672,0.0014608,0.0014608,0.0014608
117,11093.6,1.38391,1.24528,1.80704,0.99099,0.3125,0.40999,0.2286,1.67832,1.48269,2.43796,0.00145736,0.00145736,0.00145736
118,11177.4,1.26697,1.09545,1.67825,0.99476,0.32812,0.41927,0.2249,1.70017,1.40276,2.52858,0.00145389,0.00145389,0.00145389
119,11261.6,1.32113,1.19983,1.7834,0.99461,0.375,0.46077,0.19323,1.92655,1.33778,2.98242,0.00145041,0.00145041,0.00145041
120,11354.4,1.37956,1.21621,1.83389,0.95764,0.375,0.43129,0.22052,1.7865,1.30342,2.73784,0.00144689,0.00144689,0.00144689
121,11445,1.33819,1.16091,1.80367,0.96284,0.38932,0.45644,0.25616,1.54606,1.14614,2.38264,0.00144335,0.00144335,0.00144335
122,11528.4,1.35225,1.24065,1.81232,0.97622,0.39062,0.53861,0.32014,1.42676,0.97819,2.26336,0.00143979,0.00143979,0.00143979
123,11608.9,1.23179,1.07684,1.72,0.98069,0.38903,0.54179,0.3098,1.48845,0.98466,2.32236,0.00143621,0.00143621,0.00143621
124,11692.2,1.30291,1.11624,1.71904,0.9593,0.42188,0.56833,0.3091,1.53013,1.06765,2.38803,0.0014326,0.0014326,0.0014326
125,11765.9,1.31074,1.12511,1.72647,0.94932,0.40625,0.50767,0.2578,1.69151,1.09429,2.63451,0.00142897,0.00142897,0.00142897
126,11847,1.3761,1.19284,1.74792,0.94535,0.42188,0.45714,0.2374,1.69151,1.0693,2.64455,0.00142531,0.00142531,0.00142531
127,11926.7,1.23515,1.03883,1.64614,0.94264,0.40625,0.45479,0.25224,1.56783,1.04838,2.50666,0.00142164,0.00142164,0.00142164
128,12008.3,1.25736,1.1149,1.72753,0.91917,0.42188,0.48471,0.26953,1.58513,1.06244,2.5411,0.00141794,0.00141794,0.00141794
129,12086.4,1.24218,1.08249,1.68772,0.94412,0.40625,0.47523,0.27359,1.51256,0.99965,2.45824,0.00141421,0.00141421,0.00141421
130,12165.8,1.26923,1.0883,1.74413,0.99513,0.375,0.47892,0.27199,1.48206,0.90173,2.38452,0.00141047,0.00141047,0.00141047
131,12244.9,1.30119,1.15416,1.7467,0.97863,0.39062,0.46962,0.28003,1.44694,0.87234,2.31182,0.0014067,0.0014067,0.0014067
132,12323.8,1.24967,1.0773,1.70627,0.98171,0.39062,0.47116,0.27185,1.47794,0.90583,2.38071,0.00140291,0.00140291,0.00140291
133,12402.9,1.15863,1.07292,1.63557,0.96793,0.39062,0.46441,0.26364,1.52307,0.988,2.44796,0.0013991,0.0013991,0.0013991
134,12483.7,1.25868,1.02648,1.71082,0.94011,0.42188,0.45129,0.25715,1.48552,1.08583,2.42981,0.00139526,0.00139526,0.00139526
135,12562.3,1.17315,0.99242,1.61067,0.97077,0.39062,0.45191,0.27611,1.44141,1.11218,2.40797,0.0013914,0.0013914,0.0013914
136,12644,1.20433,1.03982,1.67865,0.94896,0.39062,0.45778,0.26735,1.50082,1.06917,2.42616,0.00138753,0.00138753,0.00138753
137,12721.2,1.33645,1.09777,1.76757,0.99887,0.40625,0.45704,0.24257,1.66811,1.08593,2.6687,0.00138363,0.00138363,0.00138363
138,12798.4,1.30048,1.11491,1.75229,0.99398,0.40625,0.4662,0.25073,1.67044,0.98762,2.6123,0.00137971,0.00137971,0.00137971
139,12880.8,1.18696,1.00895,1.63875,0.98146,0.40572,0.47789,0.27434,1.49351,1.03756,2.3258,0.00137576,0.00137576,0.00137576
