epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,5054.68,1.13352,0.9376,1.62229,0.90167,0.35938,0.43087,0.26105,1.53442,1.22207,2.39477,0.00142164,0.00142164,0.00142164
128,5092.4,1.15027,0.90309,1.55078,0.85393,0.92188,0.92576,0.51659,1.52748,1.12951,2.36807,0.00141794,0.00141794,0.00141794
129,5127.95,1.242,0.97706,1.6621,0.85886,0.92188,0.91632,0.45031,1.62615,1.14407,2.43363,0.00141421,0.00141421,0.00141421
130,5164.74,1.28131,1.0072,1.70169,0.73162,0.92188,0.90843,0.45042,1.58264,1.2389,2.35851,0.00141047,0.00141047,0.00141047
131,5201.79,1.14072,0.89192,1.61868,0.32335,0.92188,0.89728,0.44806,1.45828,1.33516,2.20616,0.0014067,0.0014067,0.0014067
132,5238.08,1.1715,0.9178,1.63488,0.92716,0.36669,0.44118,0.25228,1.61336,1.36497,2.35447,0.00140291,0.00140291,0.00140291
133,5276.78,1.23631,0.99482,1.66235,0.92657,0.32812,0.40509,0.21126,1.67761,1.45426,2.44037,0.0013991,0.0013991,0.0013991
134,5314.88,1.18986,0.90145,1.58502,0.91377,0.375,0.43245,0.2503,1.4957,1.35074,2.27005,0.00139526,0.00139526,0.00139526
135,5352.07,1.14609,0.8608,1.55671,0.52467,0.92188,0.89285,0.39808,1.45932,1.22819,2.23351,0.0013914,0.0013914,0.0013914
136,5390.69,1.07542,0.86885,1.52919,0.89024,0.82812,0.93198,0.45617,1.56941,1.0255,2.37209,0.00138753,0.00138753,0.00138753
137,5429.69,1.2383,0.94166,1.64085,0.85395,0.85085,0.9395,0.5207,1.59645,1.08269,2.4157,0.00138363,0.00138363,0.00138363
138,5467.08,1.18628,0.93179,1.62212,0.79515,0.86121,0.94079,0.54095,1.50508,1.14395,2.31519,0.00137971,0.00137971,0.00137971
139,5506.02,1.1523,0.88432,1.57632,0.68141,0.90483,0.69431,0.40679,1.50643,1.01143,2.35913,0.00137576,0.00137576,0.00137576
140,5545.34,1.12602,0.89202,1.54794,0.8698,0.93312,0.94685,0.49318,1.67405,1.03325,2.67526,0.0013718,0.0013718,0.0013718
141,5582.32,1.2169,0.98561,1.69719,0.85955,0.90919,0.94477,0.47569,1.73919,1.02489,2.73936,0.00136781,0.00136781,0.00136781
142,5620.01,1.17335,0.85332,1.58889,0.91505,0.90349,0.95928,0.50813,1.59824,0.90264,2.46003,0.00136381,0.00136381,0.00136381
143,5656.66,1.14567,0.90995,1.60897,0.9259,0.89062,0.95101,0.46798,1.53044,0.90859,2.30581,0.00135978,0.00135978,0.00135978
144,5696,1.14895,0.83421,1.58178,0.91213,0.89062,0.95319,0.5286,1.55671,0.95035,2.29306,0.00135574,0.00135574,0.00135574
145,5733.73,1.14484,0.92548,1.57683,0.68762,0.95312,0.95894,0.54092,1.43125,0.88642,2.12676,0.00135167,0.00135167,0.00135167
146,5769.93,1.10596,0.86517,1.55712,0.36938,0.67386,0.70118,0.40691,1.45042,0.89303,2.18147,0.00134758,0.00134758,0.00134758
147,5807.36,1.21352,0.93584,1.62659,0.80529,0.9375,0.95379,0.5965,1.39035,0.82671,2.19725,0.00134348,0.00134348,0.00134348
148,5844.86,1.15306,0.82756,1.58582,0.78715,0.45312,0.94289,0.52638,1.37062,0.85576,2.19758,0.00133935,0.00133935,0.00133935
149,5881.8,1.1741,0.84896,1.57547,0.99428,0.42188,0.48406,0.28004,1.53155,0.92102,2.30737,0.00133521,0.00133521,0.00133521
150,5920.19,1.09265,0.85609,1.53088,0.96247,0.40625,0.52627,0.29361,1.5792,0.98363,2.31025,0.00133104,0.00133104,0.00133104
151,5958.65,1.15583,0.84221,1.57241,0.7494,0.90625,0.92092,0.45166,1.52231,1.03782,2.2355,0.00132685,0.00132685,0.00132685
152,5997.86,1.15379,0.84621,1.60559,0.71518,0.90625,0.91624,0.3881,1.58009,1.07995,2.31534,0.00132265,0.00132265,0.00132265
153,6037.38,1.16866,0.90361,1.59806,0.5624,0.88174,0.66608,0.29509,1.58147,1.07954,2.30614,0.00131843,0.00131843,0.00131843
154,6076.48,1.08373,0.86448,1.55187,0.74523,0.92188,0.92632,0.44516,1.58829,1.08021,2.29622,0.00131419,0.00131419,0.00131419
155,6117.12,1.10964,0.9048,1.54686,0.86481,0.89646,0.92741,0.38769,1.5427,0.95994,2.25272,0.00130993,0.00130993,0.00130993
156,6156.78,1.03206,0.83969,1.47981,0.87007,0.89813,0.93097,0.37911,1.4036,0.91533,2.16856,0.00130565,0.00130565,0.00130565
157,6195.53,1.08181,0.77769,1.52222,0.94909,0.41361,0.93787,0.33679,1.46252,0.97903,2.26636,0.00130135,0.00130135,0.00130135
158,6233.76,1.01165,0.77628,1.48349,0.95122,0.43368,0.56758,0.29469,1.53642,1.03295,2.36127,0.00129703,0.00129703,0.00129703
159,6276.01,1.15261,0.81572,1.55616,0.96526,0.41858,0.43997,0.27584,1.51304,1.00965,2.3243,0.0012927,0.0012927,0.0012927
160,6314.32,1.1064,0.80947,1.55855,0.96397,0.42188,0.43022,0.26148,1.55873,1.0019,2.35003,0.00128835,0.00128835,0.00128835
161,6354.03,1.12289,0.83995,1.54558,0.97662,0.39062,0.43457,0.25051,1.69005,1.08152,2.47271,0.00128398,0.00128398,0.00128398
162,6391.26,1.04968,0.75973,1.48706,0.94826,0.40615,0.41588,0.24925,1.7088,1.07128,2.5015,0.00127959,0.00127959,0.00127959
