epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,185.27,1.26686,1.13282,1.69792,0.9305,0.42188,0.42099,0.21365,1.76287,1.23973,2.61744,0.00156987,0.00156987,0.00156987
80,187.477,1.21215,1.05501,1.67105,0.98564,0.39062,0.44071,0.24108,1.72306,1.121,2.57817,0.00156742,0.00156742,0.00156742
81,189.626,1.24361,1.02323,1.65353,0.96109,0.37049,0.40764,0.2538,1.47099,1.06042,2.30376,0.00156493,0.00156493,0.00156493
82,191.734,1.25832,1.10869,1.65521,0.93002,0.39062,0.39879,0.25297,1.54851,1.08126,2.42575,0.00156242,0.00156242,0.00156242
83,193.89,1.21179,1.02728,1.62423,0.96087,0.36818,0.38758,0.20759,1.74673,1.39828,2.69986,0.00155988,0.00155988,0.00155988
84,196,1.25535,1.00284,1.66672,1,0.38698,0.43495,0.24025,1.65801,1.10759,2.65807,0.00155731,0.00155731,0.00155731
85,198.13,1.24438,1.07375,1.63091,0.99448,0.39062,0.47273,0.27466,1.52423,0.95951,2.45508,0.00155471,0.00155471,0.00155471
86,200.25,1.28766,1.00126,1.69594,1,0.36982,0.40653,0.22614,1.69144,1.0307,2.65193,0.00155209,0.00155209,0.00155209
87,202.411,1.35532,1.02285,1.73314,0.97651,0.39062,0.46756,0.25085,1.67054,1.03375,2.50613,0.00154944,0.00154944,0.00154944
88,204.693,1.24757,0.98147,1.64188,0.83226,0.23438,0.27672,0.15027,1.70477,1.80691,2.38972,0.00154675,0.00154675,0.00154675
89,206.908,1.27784,1.13011,1.69324,0.63136,0.25,0.14293,0.04187,2.36932,2.24644,2.89451,0.00154405,0.00154405,0.00154405
90,209.332,1.16322,1.0203,1.60403,0.85451,0.26655,0.29214,0.16844,1.62051,1.53428,2.41092,0.00154131,0.00154131,0.00154131
91,211.798,1.19506,1.02006,1.63256,0.9593,0.375,0.41134,0.2121,1.75113,1.27167,2.59535,0.00153854,0.00153854,0.00153854
92,214.174,1.21573,0.99984,1.63654,0.96233,0.375,0.41089,0.19622,1.93113,1.29629,2.84075,0.00153575,0.00153575,0.00153575
93,216.519,1.23724,0.97933,1.65722,0.94767,0.40112,0.47219,0.21676,1.95769,1.12047,2.9975,0.00153293,0.00153293,0.00153293
94,218.69,1.16997,0.9798,1.64772,0.91418,0.375,0.58145,0.2082,1.97127,1.21626,3.00979,0.00153009,0.00153009,0.00153009
95,220.811,1.2358,0.98201,1.68482,0.97409,0.3125,0.42415,0.17449,2.19343,1.533,3.32803,0.00152721,0.00152721,0.00152721
96,222.959,1.27493,1.05858,1.70152,0.92959,0.32812,0.45126,0.22728,1.7486,1.30054,2.59237,0.00152431,0.00152431,0.00152431
97,225.059,1.21715,1.01329,1.6446,0.9539,0.35938,0.4695,0.27039,1.50332,1.18617,2.22389,0.00152139,0.00152139,0.00152139
98,227.194,1.16237,0.97403,1.57477,0.86531,0.92188,0.92939,0.35139,1.5472,0.97892,2.31523,0.00151843,0.00151843,0.00151843
99,229.332,1.22472,0.99334,1.63198,0.85757,0.92188,0.94365,0.45647,1.59097,0.95194,2.39415,0.00151545,0.00151545,0.00151545
100,231.456,1.17937,0.98123,1.63825,0.53212,0.92188,0.69843,0.35887,1.59908,0.87123,2.42368,0.00151244,0.00151244,0.00151244
101,233.532,1.20534,1.04608,1.65247,0.77117,0.95754,0.97388,0.42947,1.55087,0.80708,2.45778,0.00150941,0.00150941,0.00150941
102,235.851,1.25782,1.11681,1.69421,0.78597,0.96875,0.97396,0.47649,1.5898,0.91594,2.57814,0.00150635,0.00150635,0.00150635
103,238.168,1.17548,1.01748,1.59685,0.44569,0.96875,0.94461,0.34365,1.8085,1.14155,2.89151,0.00150326,0.00150326,0.00150326
104,240.478,1.13418,0.96124,1.58755,0.33586,0.82595,0.49337,0.20906,1.8672,1.46704,2.87871,0.00150015,0.00150015,0.00150015
105,242.779,1.19597,0.98708,1.63036,0.60201,0.92188,0.8742,0.38802,1.80326,1.22575,2.77585,0.00149701,0.00149701,0.00149701
106,245.074,1.17029,0.99449,1.59525,0.99402,0.39062,0.61461,0.31772,1.88372,1.07877,2.88766,0.00149384,0.00149384,0.00149384
107,247.354,1.19999,0.99858,1.61948,0.96363,0.39848,0.49094,0.2421,1.76028,1.17334,2.62347,0.00149065,0.00149065,0.00149065
108,249.571,1.18081,0.9754,1.60995,0.93485,0.40625,0.46466,0.23629,1.73563,1.25993,2.73823,0.00148744,0.00148744,0.00148744
109,251.822,1.19157,1.02893,1.66729,0.46136,0.375,0.4473,0.20346,2.05996,1.32537,3.13516,0.00148419,0.00148419,0.00148419
110,254.07,1.18274,0.99825,1.62717,0.44871,0.35938,0.43277,0.18215,2.17063,1.34909,3.26216,0.00148093,0.00148093,0.00148093
111,256.481,1.19749,0.98026,1.62017,0.44582,0.375,0.4478,0.24694,1.83962,1.29978,2.74844,0.00147764,0.00147764,0.00147764
112,258.816,1.26346,1.03042,1.67631,0.39056,0.88289,0.50548,0.23359,1.78799,1.30778,2.65426,0.00147432,0.00147432,0.00147432
113,261.18,1.22994,0.97653,1.65788,0.36237,0.35938,0.384,0.18428,1.91374,1.29038,2.78668,0.00147098,0.00147098,0.00147098
114,263.343,1.19356,0.9155,1.64444,0.95007,0.375,0.44106,0.2377,1.7051,1.08158,2.4788,0.00146761,0.00146761,0.00146761
115,265.503,1.18023,0.92976,1.62615,0.95659,0.35938,0.42285,0.23188,1.706,1.13576,2.50873,0.00146422,0.00146422,0.00146422
116,267.59,1.24089,0.96225,1.67738,0.98442,0.35938,0.43687,0.25103,1.59071,1.02664,2.35391,0.0014608,0.0014608,0.0014608
117,269.819,1.19753,0.95853,1.61318,0.95333,0.40625,0.44213,0.26782,1.57695,0.94926,2.32791,0.00145736,0.00145736,0.00145736
118,272.104,1.1391,0.94183,1.54959,1,0.40198,0.44737,0.25836,1.57936,0.95495,2.39698,0.00145389,0.00145389,0.00145389
119,274.39,1.20635,0.94192,1.66528,0.95331,0.34375,0.40507,0.22832,1.63893,1.21516,2.53637,0.00145041,0.00145041,0.00145041
120,276.66,1.18485,1.01573,1.64531,0.9402,0.32812,0.39081,0.20695,1.71127,1.37091,2.5444,0.00144689,0.00144689,0.00144689
